State Name,DISTRICT NAME,Language
MADHYA PRADESH,KHARGONE (WEST NIMAR),Hindi
MADHYA PRADESH,MANDLA,Hindi
MADHYA PRADESH,MANDSAUR,Hindi
MADHYA PRADESH,MORENA,Hindi
MADHYA PRADESH,NARSIMHAPUR,Hindi
MADHYA PRADESH,NEEMUCH,Hindi
MADHYA PRADESH,PANNA,Hindi
MADHYA PRADESH,RAISEN,Hindi
MADHYA PRADESH,RAJGARH,Hindi
MADHYA PRADESH,RATLAM,Hindi
MADHYA PRADESH,REWA,Hindi
MADHYA PRADESH,SAGAR,Hindi
MADHYA PRADESH,SATNA,Hindi
MADHYA PRADESH,SEHORE,Hindi
MADHYA PRADESH,SEONI,Hindi
MADHYA PRADESH,SHAHDOL,Hindi
MADHYA PRADESH,SHAJAPUR,Hindi
MADHYA PRADESH,SHEOPUR,Hindi
MADHYA PRADESH,SHIVPURI,Hindi
MADHYA PRADESH,SIDHI,Hindi
MADHYA PRADESH,SINGRAULI,Hindi
MADHYA PRADESH,TIKAMGARH,Hindi
MADHYA PRADESH,UJJAIN,Hindi
MADHYA PRADESH,UMARIA,Hindi
MADHYA PRADESH,VIDISHA,Hindi
MAHARASHTRA,AHMADNAGAR,Marathi
MAHARASHTRA,AKOLA,Marathi
MAHARASHTRA,AMRAVATI,Marathi
MAHARASHTRA,AURANGABAD,Marathi
MAHARASHTRA,BHANDARA,Marathi
MAHARASHTRA,BID,Marathi
MAHARASHTRA,BULDANA,Marathi
MAHARASHTRA,CHANDRAPUR,Marathi
MAHARASHTRA,DHULE,Marathi
MAHARASHTRA,GADCHIROLI,Marathi
MAHARASHTRA,GONDIYA,Marathi
MAHARASHTRA,HINGOLI,Marathi
MAHARASHTRA,JALGAON,Marathi
MAHARASHTRA,JALNA,Marathi
MAHARASHTRA,KOLHAPUR,Marathi
MAHARASHTRA,LATUR,Marathi
MAHARASHTRA,MUMBAI,Marathi
MAHARASHTRA,MUMBAI SUBURBAN,Marathi
MAHARASHTRA,NAGPUR,Marathi
MAHARASHTRA,NANDED,Marathi
MAHARASHTRA,NANDURBAR,Marathi
MAHARASHTRA,NASHIK,Marathi
MAHARASHTRA,OSMANABAD,Marathi
MAHARASHTRA,PALGHAR,Marathi
MAHARASHTRA,PARBHANI,Marathi
MAHARASHTRA,PUNE,Marathi
MAHARASHTRA,RAIGARH,Marathi
MAHARASHTRA,RATNAGIRI,Marathi
MAHARASHTRA,SANGLI,Marathi
MAHARASHTRA,SATARA,Marathi
MAHARASHTRA,SINDHUDURG,Marathi
MAHARASHTRA,SOLAPUR,Marathi
MAHARASHTRA,THANE,Marathi
MAHARASHTRA,WARDHA,Marathi
MAHARASHTRA,WASHIM,Marathi
MAHARASHTRA,YAVATMAL,Marathi
MANIPUR,BISHNUPUR,Hindi
MANIPUR,CHANDEL,Hindi
MANIPUR,CHURACHANDPUR,Hindi
MANIPUR,IMPHAL EAST,Hindi
MANIPUR,IMPHAL WEST,Hindi
MANIPUR,JIRIBAM,Hindi
MANIPUR,KAKCHING,Hindi
MANIPUR,KAMJONG,Hindi
MANIPUR,KANGPOKPI,Hindi
MANIPUR,NONEY,Hindi
MANIPUR,PHERZAWL,Hindi
MANIPUR,SENAPATI,Hindi
MANIPUR,TAMENGLONG,Hindi
MANIPUR,TENGNOUPAL,Hindi
MANIPUR,THOUBAL,Hindi
MANIPUR,UKHRUL,Hindi
MEGHALAYA,EAST GARO HILLS,English
MEGHALAYA,EAST JAINTIA HILLS,English
MEGHALAYA,EAST KHASI HILLS,English
MEGHALAYA,JAINTIA HILLS,English
MEGHALAYA,NORTH GARO HILLS,English
MEGHALAYA,RIBHOI,English
MEGHALAYA,SOUTH GARO HILLS,English
MEGHALAYA,SOUTH WEST GARO HILLS,English
MEGHALAYA,SOUTH WEST KHASI HILLS,English
MEGHALAYA,WEST GARO HILLS,English
MEGHALAYA,WEST JAINTIA HILLS,English
MEGHALAYA,WEST KHASI HILLS,English
MIZORAM,AIZAWL,Hindi
MIZORAM,CHAMPHAI,Hindi
MIZORAM,KOLASIB,Hindi
MIZORAM,LAWNGTLAI,Hindi
MIZORAM,LUNGLEI,Hindi
MIZORAM,MAMIT,Hindi
MIZORAM,SAIHA,Hindi
MIZORAM,SERCHHIP,Hindi
NAGALAND,DIMAPUR,English
NAGALAND,KIPHIRE,English
NAGALAND,KOHIMA,English
NAGALAND,LONGLENG,English
NAGALAND,MOKOKCHUNG,English
NAGALAND,MON,English
NAGALAND,PEREN,English
NAGALAND,PHEK,English
NAGALAND,TUENSANG,English
NAGALAND,WOKHA,English
NAGALAND,ZUNHEBOTO,English
NCT OF DELHI,CENTRAL,Hindi
NCT OF DELHI,EAST,Hindi
NCT OF DELHI,NEW DELHI,Hindi
NCT OF DELHI,NORTH,Hindi
NCT OF DELHI,NORTH EAST,Hindi
NCT OF DELHI,NORTH WEST,Hindi
NCT OF DELHI,SHAHDARA,Hindi
NCT OF DELHI,SOUTH,Hindi
NCT OF DELHI,SOUTH EAST DELHI,Hindi
NCT OF DELHI,SOUTH WEST,Hindi
NCT OF DELHI,WEST,Hindi
ODISHA,ANUGUL,Hindi
ODISHA,BALANGIR,Hindi
ODISHA,BALESHWAR,Hindi
ODISHA,BARGARH,Hindi
ODISHA,BAUDH,Hindi
ODISHA,BHADRAK,Hindi
ODISHA,CUTTACK,Hindi
ODISHA,DEBAGARH,Hindi
ODISHA,DHENKANAL,Hindi
ODISHA,GAJAPATI,Hindi
ODISHA,GANJAM,Hindi
ODISHA,JAGATSINGHAPUR,Hindi
ODISHA,JAJAPUR,Hindi
ODISHA,JHARSUGUDA,Hindi
ODISHA,KALAHANDI,Hindi
ODISHA,KANDHAMAL,Hindi
ODISHA,KENDRAPARA,Hindi
ODISHA,KENDUJHAR,Hindi
ODISHA,KHORDHA,Hindi
ODISHA,KORAPUT,Hindi
ODISHA,MALKANGIRI,Hindi
ODISHA,MAYURBHANJ,Hindi
ODISHA,NABARANGAPUR,Hindi
ODISHA,NAYAGARH,Hindi
ODISHA,NUAPADA,Hindi
ODISHA,PURI,Hindi
ODISHA,RAYAGADA,Hindi
ODISHA,SAMBALPUR,Hindi
ODISHA,SUBARNAPUR,Hindi
ODISHA,SUNDARGARH,Hindi
PUDUCHERRY,KARAIKAL,Tamil
PUDUCHERRY,MAHE,Tamil
PUDUCHERRY,PUDUCHERRY,Tamil
PUDUCHERRY,YANAM,Tamil
PUNJAB,AMRITSAR,Hindi
PUNJAB,BARNALA,Hindi
PUNJAB,BATHINDA,Hindi
PUNJAB,FARIDKOT,Hindi
PUNJAB,FATEHGARH SAHIB,Hindi
PUNJAB,FAZILKA,Hindi
PUNJAB,FIROZPUR,Hindi
PUNJAB,GURDASPUR,Hindi
PUNJAB,HOSHIARPUR,Hindi
PUNJAB,JALANDHAR,Hindi
PUNJAB,KAPURTHALA,Hindi
PUNJAB,LUDHIANA,Hindi
PUNJAB,MANSA,Hindi
PUNJAB,MOGA,Hindi
PUNJAB,MUKTSAR,Hindi
PUNJAB,PATHANKOT,Hindi
PUNJAB,PATIALA,Hindi
PUNJAB,RUPNAGAR,Hindi
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Hindi
PUNJAB,SANGRUR,Hindi
PUNJAB,SHAHID BHAGAT SINGH NAGAR,Hindi
PUNJAB,TARN TARAN,Hindi
RAJASTHAN,AJMER,Hindi
RAJASTHAN,ALWAR,Hindi
RAJASTHAN,BANSWARA,Hindi
RAJASTHAN,BARAN,Hindi
RAJASTHAN,BARMER,Hindi
RAJASTHAN,BHARATPUR,Hindi
RAJASTHAN,BHILWARA,Hindi
RAJASTHAN,BIKANER,Hindi
RAJASTHAN,BUNDI,Hindi
RAJASTHAN,CHITTAURGARH,Hindi
RAJASTHAN,CHURU,Hindi
RAJASTHAN,DAUSA,Hindi
RAJASTHAN,DHAULPUR,Hindi
RAJASTHAN,DUNGARPUR,Hindi
RAJASTHAN,HANUMANGARH,Hindi
RAJASTHAN,JAIPUR,Hindi
RAJASTHAN,JAISALMER,Hindi
RAJASTHAN,JALOR,Hindi
RAJASTHAN,JHALAWAR,Hindi
RAJASTHAN,JHUNJHUNUN,Hindi
RAJASTHAN,JODHPUR,Hindi
RAJASTHAN,KARAULI,Hindi
RAJASTHAN,KOTA,Hindi
RAJASTHAN,NAGAUR,Hindi
RAJASTHAN,PALI,Hindi
RAJASTHAN,PRATAPGARH,Hindi
RAJASTHAN,RAJSAMAND,Hindi
RAJASTHAN,SAWAI MADHOPUR,Hindi
RAJASTHAN,SIKAR,Hindi
RAJASTHAN,SIROHI,Hindi
RAJASTHAN,SRI GANGANAGAR,Hindi
RAJASTHAN,TONK,Hindi
RAJASTHAN,UDAIPUR,Hindi
SIKKIM,EAST DISTRICT,Hindi
SIKKIM,NORTH  DISTRICT,Hindi
SIKKIM,SOUTH DISTRICT,Hindi
SIKKIM,WEST DISTRICT,Hindi
TAMIL NADU,ARIYALUR,Tamil
TAMIL NADU,CHENNAI,Tamil
TAMIL NADU,COIMBATORE,Tamil
TAMIL NADU,CUDDALORE,Tamil
TAMIL NADU,DHARMAPURI,Tamil
TAMIL NADU,DINDIGUL,Tamil
TAMIL NADU,ERODE,Tamil
TAMIL NADU,KANCHEEPURAM,Tamil
